"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Pseudomonas savastanoi",19.5371774090255,19.7328158417248,2.18842963594424,9.01688385023665,1.93515417681177e-19,2.36746761991152e-15,"Upregulated"
"Streptomyces sp. NBC_01763",46.1293490993782,-23.5937214062792,2.74188958839492,-8.60491301551308,7.63746571509066e-18,3.11455851861397e-14,"Downregulated"
"Bacillus albus",70.3938595104244,-22.7731813932639,2.63629841376549,-8.63831699566077,5.70471475989493e-18,3.11455851861397e-14,"Downregulated"
"Flavobacterium sp. N502536",20.577372278048,19.9467243544604,2.38253977424216,8.37204254472732,5.66279909757684e-17,1.73196710399388e-13,"Upregulated"
"Citrobacter europaeus",29.7360863487193,-23.6070116499094,2.86080958333697,-8.25186401339345,1.55942812799123e-16,3.81560874356894e-13,"Downregulated"
"Weeksella virosa",13.0984137236571,-22.8618709227013,2.82316656754391,-8.09795326479462,5.58915312441307e-16,1.13962832206782e-12,"Downregulated"
"Streptomyces sp. NBC_01579",18.5080689469652,-24.9263008683425,3.22791097384107,-7.72211534653365,1.14414780305839e-14,1.99964346037376e-11,"Downregulated"
"Brevibacillus sp. NSP2.1",25.6189965774585,18.4287949772137,2.45414057955461,7.50926622979286,5.94596943388018e-14,9.09287375676127e-11,"Upregulated"
"Chryseobacterium sp. PET-29",20.9772229815429,19.3819904939392,2.59596300924178,7.46620442007,8.25410855599586e-14,1.1220084897117e-10,"Upregulated"
"Sulfitobacter sp. TCYB15",14.2877750161669,-24.0054627123502,3.27828042037056,-7.32257758158369,2.43252596404392e-13,2.97595226441133e-10,"Downregulated"
"Streptomyces sp. MH191",23.3952994446051,-23.1606971705697,3.21911028456941,-7.19475107193095,6.25748214567053e-13,6.88346322837896e-10,"Downregulated"
"Dolichospermum sp. LBC05a",10.2302651560909,-22.8288095629414,3.17756617643206,-7.18436951282466,6.75180306854239e-13,6.88346322837896e-10,"Downregulated"
"Bacillus sp. CMF12",25.2371831692722,-21.2702299916661,3.03786800287901,-7.0016965751995,2.52881294743894e-12,2.0624998399312e-09,"Downregulated"
"Bacillus sp. LJBS06",15.2615390108136,-23.4884515702158,3.35458223104877,-7.00190066972138,2.52513091157923e-12,2.0624998399312e-09,"Downregulated"
"Neisseria macacae",9.91206743121004,-24.0525377409472,3.43200744342522,-7.00829999277105,2.41231147072735e-12,2.0624998399312e-09,"Downregulated"
"Brucella sp. JSBI001",16.904284264057,-22.1965894242343,3.21774169146973,-6.89818871510966,5.26697502385108e-12,4.02726077761213e-09,"Downregulated"
"Flavobacterium oreochromis",14.0913854919849,19.4524413264448,2.83887437576151,6.85216700412352,7.27395648884451e-12,5.23468139320728e-09,"Upregulated"
"Pseudoalteromonas sp. M8",19.391466544064,-22.9360598338086,3.41346376449936,-6.71929202013153,1.82609621141114e-11,1.17581373949494e-08,"Downregulated"
"Klebsiella sp. WP8-S18-ESBL-06",73.6193849123913,-24.5887620448894,3.65862539091358,-6.72076515566668,1.80772748258684e-11,1.17581373949494e-08,"Downregulated"
"Microbacterium terregens",57.4735577660359,-24.4270841183,3.66603152208073,-6.66308622039231,2.68136245379945e-11,1.64018941298912e-08,"Downregulated"
"Klebsiella sp. PL-2018",18.6752211408461,-23.9646216636689,3.6274696583572,-6.60642925253909,3.93700278737383e-11,2.29358533813007e-08,"Downregulated"
"Brevibacillus sp. JNUCC-41",51.4360864113762,21.3011397915873,3.27877082315655,6.49668456274726,8.21093692907474e-11,4.56602738137729e-08,"Upregulated"
"Paenibacillus sp. FSL R5-0490",17.1991524876236,-24.7363931159107,3.88121669733421,-6.37336048072264,1.84930513508929e-10,9.83669522725322e-08,"Downregulated"
"Bartonella sp. HY761",18.6636132767189,19.7028465327944,3.0994784570506,6.35682641638466,2.05964509501462e-10,1.0499040871837e-07,"Upregulated"
"Pseudomonas sp. SG20052",10.4190562441588,-22.0968601118204,3.54766800110733,-6.22855918449059,4.70744256885326e-10,2.21503278412888e-07,"Downregulated"
"Vibrio sp. HDW18",13.574741616187,20.8563138292235,3.34840533676966,6.22873031535197,4.70230425403606e-10,2.21503278412888e-07,"Upregulated"
"Microbacterium sp. PAMC 28756",55.9990339626424,24.9847548024889,4.15054256952603,6.01963583892165,1.74809902777942e-09,7.92083092809388e-07,"Upregulated"
"Olleya sp. YS",13.3424239932039,19.2116661067492,3.23319929103771,5.9419987379074,2.81567588619472e-09,1.23024924256093e-06,"Upregulated"
"Bacillus sp. HSf4",14.7920507335276,19.7042386012926,3.35082991023122,5.88040549033206,4.0926263556382e-09,1.62907853733574e-06,"Upregulated"
"Synechocystis sp. CACIAM 05",10.5383071263858,-24.2720827754057,4.12861960176523,-5.87898259385001,4.12795771271929e-09,1.62907853733574e-06,"Downregulated"
"Virgibacillus salarius",23.656887904207,19.5470171870984,3.3232026127235,5.88198177031369,4.05382999935773e-09,1.62907853733574e-06,"Upregulated"
"Prochlorococcus sp. MIT 0604",10.6955608110071,18.1491100507952,3.09505202400471,5.8639111426993,4.52089475984684e-09,1.72839457787394e-06,"Upregulated"
"Sphingomonas sinipercae",10.4077497232914,-21.3321918720884,3.65592453197544,-5.83496505070411,5.38018432785431e-09,1.99458106263544e-06,"Downregulated"
"Prevotella melaninogenica",1832.94030232395,-3.94588915074257,0.677541038326183,-5.82383786005142,5.75113744517907e-09,2.0587665392243e-06,"Downregulated"
"Sphaerisporangium melleum",17.4417892522634,21.3257292163329,3.6643061663544,5.81985463227539,5.88988302050437e-09,2.0587665392243e-06,"Upregulated"
"Mesorhizobium sp. CCBAU 75066",118.768595533819,-25.3807204948464,4.36984259829339,-5.80815439548296,6.31652551718843e-09,2.1465659215912e-06,"Downregulated"
"uncultured bacterium ctg7180000000852",21.7452493797309,-21.0189081724993,3.63816256625664,-5.77734166346667,7.58900814640101e-09,2.50929528819108e-06,"Downregulated"
"uncultured Fulvivirgaceae bacterium",16.8344381797822,19.7605301191359,3.4312558756144,5.75897887988245,8.46242886855692e-09,2.72445670468225e-06,"Upregulated"
"Frischella perrara",13.6122773875897,19.0930483244235,3.32560301744037,5.74122895134939,9.39919094333312e-09,2.94845389745481e-06,"Upregulated"
"Moritella yayanosii",10.7498750829555,16.9963399545421,2.96918552512118,5.72424316727343,1.03895850062243e-08,3.1776545741537e-06,"Upregulated"
"Bacillus sp. FSL P2-0069",14.35787987153,19.7094721238117,3.45071225908388,5.71171127697686,1.11845727838361e-08,3.2822203617304e-06,"Upregulated"
"Phytobacter sp. MRY16-398",28.3160293446983,18.9005468726082,3.30981969852938,5.71044606478296,1.12680444002515e-08,3.2822203617304e-06,"Upregulated"
"Synechocystis sp. PCC 6803",2004.45789286169,-26.9173540255787,4.71739031779722,-5.70598407429379,1.15672814324204e-08,3.29102607079607e-06,"Downregulated"
"Pseudomonas sp. OE 28.3",11.850729247718,17.4281083101662,3.07096781845773,5.67511916126779,1.38592147169303e-08,3.85349165561195e-06,"Upregulated"
"Streptomyces sp. NBC_00481",20.610717664683,-21.5365674398464,3.80204481024192,-5.66446965112862,1.47479960652042e-08,4.00948853026017e-06,"Downregulated"
"Bacillus paramobilis",8.33638496121284,18.0003862362681,3.19955532182793,5.62590248509418,1.84540579904782e-08,4.90797707511978e-06,"Upregulated"
"Massilia sp. Dwa41.01b",18.7407845477137,20.549537100578,3.66544881028385,5.60628129437351,2.06719897931475e-08,5.38087496019928e-06,"Upregulated"
"Paenibacillus sp. FSL E2-0230",365.977719240121,22.5418277193776,4.11868113235139,5.47306941105885,4.4230676555254e-08,1.12732936870204e-05,"Upregulated"
"Enterobacteriaceae bacterium ENNIH2",44.0202938115924,-23.5848387814752,4.35964362771717,-5.40980887325987,6.30920465288891e-08,1.54424610558397e-05,"Downregulated"
"Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1",25.4127741641781,-26.3102991511612,4.8634965529091,-5.40974972736922,6.31128864469499e-08,1.54424610558397e-05,"Downregulated"
"Burkholderia sp. IDO3",21.199159595371,17.9045179590731,3.31467769631385,5.40158639827461,6.60541110465576e-08,1.5845215579286e-05,"Upregulated"
"Stenotrophomonas sp. YAU14A_MKIMI4_1",8.43351441907955,-23.4535232210062,4.37015423852782,-5.36674953351464,8.01682614026289e-08,1.88611251923031e-05,"Downregulated"
"Bacteroides caecimuris",8269.53358257821,-3.54572350397209,0.669874669450947,-5.29311476559979,1.20250401507723e-07,2.77574228687826e-05,"Downregulated"
"Borreliella valaisiana",12.4376199364645,19.1629301928965,3.63292689319796,5.27479103110382,1.32907444938775e-07,3.01109200255736e-05,"Upregulated"
"Bartonella kosoyi",10.6868801185965,-23.621017054099,4.50445391549372,-5.24392467927158,1.57196392605589e-07,3.49661939479413e-05,"Downregulated"
"Actinoalloteichus fjordicus",16.5580106704451,20.4608342546921,3.94053156232185,5.19240461117791,2.07595238083165e-07,4.45564937317445e-05,"Upregulated"
"uncultured sediment bacterium",10.413480813751,-21.1538307435281,4.07143541618207,-5.19566899169061,2.03984935447786e-07,4.45564937317445e-05,"Downregulated"
"Bacteroides thetaiotaomicron",41587.703368111,-3.01747123967888,0.587094643829265,-5.13966746485325,2.75225106210932e-07,5.8053516368699e-05,"Downregulated"
"Acinetobacter sp. SH20PTE14",11.6645929597856,18.358108926065,3.58793593982999,5.11662115320121,3.11057512831542e-07,6.44996205420522e-05,"Upregulated"
"Streptomyces sp. V17-9",12.4457902113755,18.5012308591199,3.63180315668701,5.09422731930135,3.50166418763802e-07,7.13989327859392e-05,"Upregulated"
"Bacillus sp. 3a",11.6066064889874,18.5052884038128,3.64172448465385,5.08146304911139,3.74538876361132e-07,7.51165346459358e-05,"Upregulated"
"Kocuria sp. ChxB",48.8763994429981,-22.5749602335145,4.45874911454446,-5.06307030370354,4.12557625078531e-07,8.14069352453347e-05,"Downregulated"
"Segatella copri",2698.6831377368,-2.13010733459435,0.423899747519786,-5.02502619323907,5.03363829988678e-07,9.77484618425634e-05,"Downregulated"
"Phocaeicola coprophilus",908.923028959768,-2.71730922089294,0.541997774814137,-5.01350623039876,5.34470359671994e-07,0.00010216734969105,"Downregulated"
"Phocaeicola vulgatus",18149.6729932064,-3.04022956011985,0.607870206088597,-5.00144525865566,5.69021246513075e-07,0.000107098552766784,"Downregulated"
"Sporosarcina sp. P37",9.66710993988485,-23.0874032880885,4.62399636580055,-4.99295446225797,5.94625814972339e-07,0.000110222003338964,"Downregulated"
"Candidatus Planktophila vernalis",11.8865596800474,-20.6949608670337,4.1568561510631,-4.9785126342996,6.40747615331069e-07,0.000116998601880005,"Downregulated"
"Chryseobacterium sp. WX",14.3890251899373,18.7636118410332,3.78322111795466,4.95969208672041,7.06050024941784e-07,0.000127026705957909,"Upregulated"
"Cobetia sp. AM6",21.5920516333944,17.4306665033297,3.5177890322004,4.95500621094004,7.23279788253313e-07,0.000128240651152044,"Upregulated"
"Leeuwenhoekiella palythoae",10.5906102437553,18.1375221348559,3.67228962812869,4.93902278184369,7.85150402634983e-07,0.000137221857511948,"Upregulated"
"Microbacterium aurugineum",11.2616699131156,-21.8721801117819,4.47049904675002,-4.89255894768228,9.95332906982311e-07,0.000171505673014389,"Downregulated"
"Streptomyces sp. NBC_01267",16.7084391030148,19.7810036560773,4.04675975674267,4.88810921456812,1.0180904924746e-06,0.000172990542846308,"Upregulated"
"Citrobacter youngae",9.21878538218321,-20.0437492322922,4.11500414595056,-4.87089405535997,1.11094400235741e-06,0.00018618204006631,"Downregulated"
"uncultured bacterium Contig87",15.1379775125818,15.6673716933733,3.23972995386682,4.83601161716375,1.32470183044303e-06,0.00021900543504919,"Upregulated"
"arsenite-oxidising bacterium NT-25",70.7635603669345,20.3069543364079,4.20920265015539,4.82441831011825,1.40412450605292e-06,0.000229040789427353,"Upregulated"
"Bacteroides sp. A1C1",2539.98849964826,-2.99967483833069,0.622476539805728,-4.81893637191029,1.44325568635196e-06,0.000232326185089867,"Downregulated"
"Butyricimonas faecihominis",9469.57114150511,-3.24973489168579,0.678527230692633,-4.78939494936481,1.67284945085833e-06,0.000265787534828582,"Downregulated"
"Bacteroides nordii",2535.96935597396,-3.02400677173618,0.63255533772881,-4.78062011553626,1.74755308509408e-06,0.000274096980038987,"Downregulated"
"Staphylococcus sp. SB1-57",12.6821216366034,20.4686866644642,4.31038445701985,4.74869164654885,2.04736820755697e-06,0.000317056995585468,"Upregulated"
"Gardnerella leopoldii",15.4702141977544,17.2734005139959,3.64465991778139,4.73937237044347,2.1438121693447e-06,0.000327842475997038,"Upregulated"
"Geobacillus sp. E263",6.93246119492483,19.2627044584586,4.07123005651051,4.731421263619,2.22953294966852e-06,0.000336742050694378,"Upregulated"
"Bacteroides fragilis",9804555.70062455,-2.95563286260609,0.625324655657024,-4.72655737442598,2.28358290065412e-06,0.000340699429348812,"Downregulated"
"Alistipes shahii",1808.74142216048,-3.76293151179336,0.801990285592194,-4.69199138617345,2.70558521819972e-06,0.000395690395815354,"Downregulated"
"Stenotrophomonas sp. G4",8.8089049193098,18.4071984030726,3.92382102717223,4.69114117988662,2.71685411545608e-06,0.000395690395815354,"Upregulated"
"uncultured Desulfotomaculum sp.",5.38582648251569,-27.4124750363451,5.84983032041375,-4.68602908714903,2.78556692473533e-06,0.000400925008908377,"Downregulated"
"Bacteroides xylanisolvens",5628.78230543209,-2.60593346703776,0.557757832869619,-4.67215933773702,2.98049594902584e-06,0.000423992877213746,"Downregulated"
"Caballeronia sp. SBC1",12.0500235255832,21.0446920280567,4.50703372479235,4.66929987949586,3.02227942456243e-06,0.000424995017012607,"Upregulated"
"Blautia hansenii",78.0524213327618,26.8865519186615,5.81019351021028,4.62747959623266,3.7014268522112e-06,0.000514582455794907,"Upregulated"
"Duncaniella sp. C9",19.5825806772545,-22.6870431546578,4.90830487796093,-4.6221748075443,3.79737805203323e-06,0.000521990147062636,"Downregulated"
"Escherichia sp. 10290",58.8038566426636,-26.7331111828825,5.810304252249,-4.60098301608473,4.20501717579882e-06,0.000571602001430253,"Downregulated"
"[Clostridium] innocuum",17025.3987015284,-2.63635177097327,0.576349004266102,-4.57422803103526,4.77979041997029e-06,0.000632326173223352,"Downregulated"
"Bacteroides ovatus",4007.53424009128,-2.74500857872205,0.599866719040909,-4.57603079415854,4.73880821736145e-06,0.000632326173223352,"Downregulated"
"Lysinibacillus sp. ACHW1.5",23.0773926416351,-21.7146933556854,4.74847916846399,-4.57297854435139,4.80839394029314e-06,0.000632326173223352,"Downregulated"
"Aurantimicrobium sp. INA4",5.97791993790509,19.3399170221457,4.23118157479183,4.57080762909524,4.85848130480588e-06,0.000632326173223352,"Upregulated"
