"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Streptomyces sp. NBC_00056",26.6692800167284,-22.3645525238787,2.55688101332735,-8.74681004212044,2.19468695356487e-18,2.68498001899127e-14,"Downregulated"
"Flavobacterium sp. N502536",20.577372278048,20.4872623074544,2.3853277180144,8.58886691029121,8.78311862938944e-18,5.37263366559752e-14,"Upregulated"
"Pseudomonas savastanoi",19.5371774090255,18.6146519085738,2.20387072742534,8.44634473198901,3.00565290800478e-17,1.22570525588435e-13,"Upregulated"
"Chryseobacterium sp. PET-29",20.9772229815429,20.9753571768716,2.59659031860543,8.07803873663713,6.58167017840302e-16,2.01300382406456e-12,"Upregulated"
"Brevibacillus sp. NSP2.1",25.6189965774585,19.2179437812398,2.45732785269617,7.82066738068916,5.25440144291315e-15,1.28564694505199e-11,"Upregulated"
"Rhizobium sp. N324",47.3370806746726,-23.6885017632151,3.15774100764748,-7.50172408245193,6.29838436324197e-14,1.28424057166504e-10,"Downregulated"
"Methylobacterium sp. C1",29.1447667788084,-24.3108132897648,3.33221771006489,-7.29568575796667,2.97141696685803e-13,5.19318788179159e-10,"Downregulated"
"Streptomyces sp. NBC_01762",23.5337829002076,-22.1619913410945,3.05636504520945,-7.25109435989368,4.13417527459161e-13,6.32218753866922e-10,"Downregulated"
"Flavobacterium oreochromis",14.0913854919849,19.8692108759058,2.84256964144968,6.9898765490835,2.75128227499343e-12,3.73990970580773e-09,"Upregulated"
"Phytobacter sp. MRY16-398",28.3160293446983,22.810308164597,3.30765733490102,6.89621259249323,5.34072536063603e-12,6.53384340620212e-09,"Upregulated"
"Pseudomonas sp. BO3-4",52.7881923631308,-23.9863937773272,3.51643288686679,-6.82122894109876,9.02649549606997e-12,1.00391041726291e-08,"Downregulated"
"Paenibacillus sp. FSL H7-0690",41.1822136552924,-23.4815987799979,3.48435059773712,-6.73916074784433,1.59304083438398e-11,1.62410513065447e-08,"Downregulated"
"Pseudoalteromonas distincta",14.3996327579549,-22.0378459548282,3.34751974450015,-6.58333561468474,4.60009145533056e-11,4.32903991265493e-08,"Downregulated"
"Bartonella sp. HY761",18.6636132767189,20.3597666680698,3.10155646904198,6.56437078327921,5.22530331441604e-11,4.56616862489756e-08,"Upregulated"
"Microbacterium neungamense",25.3037292509631,-22.9641985478988,3.5080984538163,-6.54605303990745,5.90776060562386e-11,4.81836954994682e-08,"Downregulated"
"Desulfomonilaceae bacterium",229.163050153311,2.97844345663778,0.463949278489018,6.41976094097598,1.36488511384135e-10,1.04362528017094e-07,"Upregulated"
"Candidatus Tremblaya princeps",16.003345745307,-22.925221509568,3.67973258793698,-6.23013247884432,4.66040905226312e-10,3.35384966737571e-07,"Downregulated"
"Moritella yayanosii",10.7498750829555,18.4937152607692,2.97302565882471,6.22050307768958,4.95563345594788e-10,3.36817887222591e-07,"Upregulated"
"Prochlorococcus sp. MIT 0604",10.6955608110071,19.0708451391004,3.09987525956828,6.15213308349588,7.64476842885084e-10,4.92242615571375e-07,"Upregulated"
"Virgibacillus salarius",23.656887904207,20.238136132638,3.32541673636924,6.08589471247277,1.15842553463018e-09,7.04711778524944e-07,"Upregulated"
"Burkholderia sp. EMB26",33.2567078236276,-23.0845568738701,3.79745267735006,-6.07895840586986,1.20965729516297e-09,7.04711778524944e-07,"Downregulated"
"uncultured bacterium Contig87",15.1379775125818,19.5329330399924,3.22179767991761,6.06274353034233,1.3381896383243e-09,7.44155092511797e-07,"Upregulated"
"Frischella perrara",13.6122773875897,20.0811339433009,3.32772732323377,6.03448900488241,1.59466487486332e-09,8.48223046916427e-07,"Upregulated"
"Xanthomonas sp. GW",12.983714235517,-18.4511073239809,3.06386302329228,-6.02217109045371,1.72092837319604e-09,8.77243238236682e-07,"Downregulated"
"Brevibacillus sp. JNUCC-41",51.4360864113762,19.5842639765224,3.28415687250491,5.9632547216251,2.47262507434281e-09,1.2100038063804e-06,"Upregulated"
"Cutibacterium avidum",228.682933542253,3.2156183716239,0.541510373305009,5.93823965365237,2.8809869870121e-09,1.355615184581e-06,"Upregulated"
"Paenibacillus sp. FSL E2-0230",365.977719240121,24.4293206513288,4.11868736021111,5.93133649505182,3.00478691319831e-09,1.36150233689141e-06,"Upregulated"
"Bacillus paramobilis",8.33638496121284,18.9430906590568,3.20467930177865,5.91107217765692,3.39888048182634e-09,1.48506799338084e-06,"Upregulated"
"Olleya sp. YS",13.3424239932039,19.0789773047088,3.2400914433205,5.88840705222699,3.89935747870013e-09,1.6449910136006e-06,"Upregulated"
"Pseudomonas sp. OE 28.3",11.850729247718,18.0322068612428,3.082237734805,5.85036211114443,4.90503956062499e-09,2.00027513282287e-06,"Upregulated"
"Lapidilactobacillus dextrinicus",20.36681951908,21.2739534496656,3.65735861443414,5.81675348042322,6.00015283377864e-09,2.36793128285316e-06,"Upregulated"
"Cobetia sp. AM6",21.5920516333944,20.3684109579206,3.51444642166429,5.79562426456768,6.80675051289138e-09,2.60230580545979e-06,"Upregulated"
"Burkholderia sp. IDO3",21.199159595371,19.1840518626949,3.31751645211705,5.7826546272145,7.35309277495894e-09,2.72599203057114e-06,"Upregulated"
"Microbacterium sp. PAMC 28756",55.9990339626424,23.9593548242461,4.15200897066376,5.77054505265577,7.90155358226469e-09,2.84316489780665e-06,"Upregulated"
"Streptomyces sp. NBC_01136",14.8767555721312,-22.8097817903363,4.00166326081963,-5.70007526961787,1.19754540556028e-08,4.18593442617842e-06,"Downregulated"
"Bacillus sp. HSf4",14.7920507335276,19.1175825010164,3.3577823150071,5.69351456036123,1.24450597796735e-08,4.22924614845905e-06,"Upregulated"
"Bacillus sp. FSL P2-0069",14.35787987153,19.5917238053795,3.45521630744841,5.67018735213354,1.42641448260142e-08,4.59230388951203e-06,"Upregulated"
"Bacillus sp. 3a",11.6066064889874,20.6574186063036,3.64124875653592,5.67316873619916,1.40180030356349e-08,4.59230388951203e-06,"Upregulated"
"Lysinibacillus sp. FSL W7-1291",15.0721748859489,21.2423155749924,3.7669328739516,5.63915426310974,1.70887393964701e-08,5.25372408032468e-06,"Upregulated"
"Aminithiophilus ramosus",12.5037221400924,-19.7440462552924,3.50179621670531,-5.63826248971984,1.71774532624642e-08,5.25372408032468e-06,"Downregulated"
"Chryseobacterium sp. WX",14.3890251899373,20.8770237229249,3.78294486538415,5.51872270567837,3.41472522937486e-08,1.01892069405298e-05,"Upregulated"
"Pseudomonas sp. Marseille-Q3773",12.3189842452749,19.7121844761921,3.58308268682443,5.50145955288083,3.76660028389493e-08,1.09715685412311e-05,"Upregulated"
"Enterobacter ludwigii",739.387384169312,3.29825534418624,0.603420394894795,5.46593282575621,4.60478708899586e-08,1.31011547085524e-05,"Upregulated"
"Streptomyces rubrolavendulae",8.29026796054577,-22.1393297759275,4.06563626902699,-5.44547724167808,5.16666693512763e-08,1.41731072910109e-05,"Downregulated"
"Actinoalloteichus fjordicus",16.5580106704451,21.4557681224464,3.94126451922866,5.44387924681734,5.21325672793437e-08,1.41731072910109e-05,"Upregulated"
"Acinetobacter sp. SH20PTE14",11.6645929597856,19.4990162573072,3.59089322681165,5.43012978267259,5.63130844891139e-08,1.49768320791265e-05,"Upregulated"
"Lacticaseibacillus paracasei",348.808809838379,3.54402499378856,0.654386886588178,5.41579464140286,6.1017101430402e-08,1.58826216787136e-05,"Upregulated"
"Sphingobacterium faecium",9.05238145527455,-19.0176783776204,3.51865716478267,-5.40481140588614,6.48766181121263e-08,1.65354280413282e-05,"Downregulated"
"Synechococcus elongatus",371.284090773929,2.00010663301756,0.374661392632518,5.33843804658929,9.37507305390954e-08,2.34070701513325e-05,"Upregulated"
"Sporosarcina sp. FSL K6-1540",18.5527991560017,21.232307565326,4.04565822685762,5.24817134190243,1.53616393036127e-07,3.75868590480796e-05,"Upregulated"
"Borreliella valaisiana",12.4376199364645,19.0205165323424,3.63936296016954,5.22633129492981,1.72906435181211e-07,4.147720250994e-05,"Upregulated"
"Borrelia sp. A-FGy1",6.39531159938591,-21.4908016922815,4.14237386109241,-5.18804009800651,2.12518850049728e-07,4.9999146375161e-05,"Downregulated"
"Hafnia alvei",181.243399536564,2.672246967749,0.516990152574009,5.16885467633053,2.35532951516747e-07,5.43681156387901e-05,"Upregulated"
"Stenotrophomonas sp. G4",8.8089049193098,20.0943468384395,3.92453339863292,5.12018749679623,3.05232029276341e-07,6.9152011966051e-05,"Upregulated"
"Streptomyces sp. ADI95-16",312.381687021857,3.55877770548364,0.69625406139581,5.11132056931805,3.19914588471682e-07,6.98899120600457e-05,"Upregulated"
"Vibrio sp. HDW18",13.574741616187,17.2682376702981,3.37739009240767,5.11289403883692,3.1726027957125e-07,6.98899120600457e-05,"Upregulated"
"Massilia sp. Dwa41.01b",18.7407845477137,18.76763668774,3.67556587188346,5.10605369129812,3.28956258529481e-07,7.06044011728012e-05,"Upregulated"
"Streptomyces sp. NBC_01267",16.7084391030148,20.5353235051528,4.04824724235532,5.07264558604505,3.92322773440545e-07,8.27530484529591e-05,"Upregulated"
"Vibrio sp. B1FIG11",12.991845544716,20.6044265031935,4.13185546506824,4.98672489330486,6.14114128601878e-07,0.000127340207615515,"Upregulated"
"Stenotrophomonas sp. YAU14A_MKIMI4_1",8.43351441907955,-21.7779941345245,4.37015423852782,-4.98334679873014,6.24937969242439e-07,0.000127424851928533,"Downregulated"
