"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Aminobacter sp. MDW-2",31.2872013352088,-24.1929222960104,2.29625427078585,-10.5358202720863,5.90660635165135e-26,7.22614221061026e-22,"Downregulated"
"Paenibacillus sp. FSL H8-0261",18.0071619546106,-23.2713721288173,2.43904427578973,-9.54118478283153,1.41209724790639e-21,8.63779886544339e-18,"Downregulated"
"Rhizobium sp. TAL182",24.2246293026834,-24.3326326559682,2.57871637077287,-9.43594764114189,3.87475690733566e-21,1.58012586681148e-17,"Downregulated"
"Pseudomonas savastanoi",19.5371774090255,20.1487209235519,2.18962559617314,9.20190235205791,3.51667828980946e-20,1.07557605493822e-16,"Upregulated"
"Parasphingorhabdus litoris",19.4237051610329,-23.2273421018692,2.55097198112844,-9.10529095329163,8.60355181740583e-20,2.10511705868286e-16,"Downregulated"
"Paenibacillus sp. FSL H7-0942",38.4156623559304,-24.3713921309635,2.69796237175189,-9.033258723745,1.66634109713769e-19,3.39766949706374e-16,"Downregulated"
"Streptomyces sp. NBC_00310",102.936106217348,-25.7996811204139,2.94693432616222,-8.75475265647088,2.04551579811605e-18,3.57497718202168e-15,"Downregulated"
"Flavobacterium sp. N502536",20.577372278048,19.6275100489673,2.38522102692922,8.22880136782802,1.89096040227644e-16,2.89175119518125e-13,"Upregulated"
"Rhodococcus sp. LW-XY12",26.1944467918247,-24.3679101166634,2.9906586790566,-8.14800775739152,3.69968627197101e-16,5.02910687236593e-13,"Downregulated"
"Sphingopyxis sp. GC21",14.1298491486694,-22.9445305139823,2.87998681493836,-7.96688734648717,1.62720873304578e-15,1.99072716400821e-12,"Downregulated"
"Chryseobacterium sp. PET-29",20.9772229815429,20.2530822048283,2.59626222734855,7.8008615583919,6.14859368599171e-15,6.83835410494751e-12,"Upregulated"
"Mesomycoplasma lagogenitalium",14.4197527134846,-22.7463885102044,3.11654161826172,-7.29859931178824,2.90778841298577e-13,2.96449028703899e-10,"Downregulated"
"Paenibacillus sp. FSL H7-0940",18.7405353157662,-21.5072964413671,3.01434223682806,-7.13498825003987,9.67954280623921e-13,8.45853762082361e-10,"Downregulated"
"Halomonas sp. N3-2A",20.788897239873,-23.2657989173635,3.25919873687218,-7.13850267986157,9.43530315099212e-13,8.45853762082361e-10,"Downregulated"
"Dolichospermum sp. LBC05a",10.2302651560909,-22.3070426138973,3.17756617643206,-7.02016618232788,2.21604510062792e-12,1.80740638407213e-09,"Downregulated"
"Bartonella sp. HY761",18.6636132767189,21.4610908436544,3.09891952491686,6.92534629282773,4.34910321178976e-12,3.32543304331475e-09,"Upregulated"
"Flavobacterium oreochromis",14.0913854919849,19.4195058898567,2.8410727841397,6.83527222472657,8.18494511741434e-12,5.89027168037924e-09,"Upregulated"
"Pseudomonas sp. B21-035",18.4683629389872,-23.5536222961904,3.47271173530872,-6.78248702784901,1.18124471907778e-11,8.02852660733197e-09,"Downregulated"
"Zoogloeaceae bacteirum Par-f-2",24.9249251380866,-21.3109255966737,3.17565072458809,-6.71072716897666,1.93656900275666e-11,1.20686218817786e-08,"Downregulated"
"Shewanella zhangzhouensis",12.686505372268,-20.5368184692577,3.06153665196627,-6.7080099975507,1.97296417880965e-11,1.20686218817786e-08,"Downregulated"
"Moritella yayanosii",10.7498750829555,19.7246253568823,2.96160298509689,6.66011800235845,2.73607817264443e-11,1.59396096972057e-08,"Upregulated"
"Sphingobium sp. RSMS",26.551097339681,-20.8658400864855,3.13874946988241,-6.64781954937843,2.97466674805635e-11,1.65418513616916e-08,"Downregulated"
"Brevibacillus sp. JNUCC-41",51.4360864113762,21.6524565353061,3.27906068151506,6.6032497225095,4.02241112214998e-11,2.1395729421036e-08,"Upregulated"
"Streptomyces sp. NBC_00269",24.9400293912582,-22.7075321141467,3.49887024624622,-6.48996119204722,8.58584873922019e-11,4.37663639481749e-08,"Downregulated"
"Klebsiella sp. PL-2018",18.6752211408461,-23.0490533729152,3.6274696583572,-6.35403064497406,2.09745021592156e-10,1.02640823766338e-07,"Downregulated"
"Prochlorococcus sp. MIT 0604",10.6955608110071,19.5780989163006,3.09395754076539,6.32784990044089,2.48600783429523e-10,1.16976230172184e-07,"Upregulated"
"Pandoraea sp. NE5",15.2106104542115,-20.2299257910326,3.22240324979132,-6.27790013318249,3.4317621447764e-10,1.55496955848868e-07,"Downregulated"
"Mesorhizobium sp. C089B",15.3540096589099,-20.9478697347679,3.45166761105099,-6.06891279673059,1.28779042716542e-09,5.62672431640776e-07,"Downregulated"
"Pseudomonas sp. OE 28.3",11.850729247718,18.4540599252533,3.07107869356535,6.00898308594924,1.86690598680738e-09,7.8757682215867e-07,"Upregulated"
"Paenibacillus sp. FSL H3-0302",68.4861621463646,-25.1490208410038,4.21569225020115,-5.96557323172815,2.43776681981182e-09,9.84969412494266e-07,"Downregulated"
"Paenibacillus sp. FSL R5-0490",17.1991524876236,-23.1387603014306,3.88121669733421,-5.96172852634673,2.49583552291338e-09,9.84969412494266e-07,"Downregulated"
"Streptomyces sp. NBC_01396",49.6147780398855,-23.1240909100907,3.89010887615882,-5.9443300036692,2.77589875107604e-09,1.06126079127076e-06,"Downregulated"
"Aminithiophilus ramosus",12.5037221400924,-20.5113882994971,3.50179621670531,-5.85739061617796,4.70196306235455e-09,1.69187694426016e-06,"Downregulated"
"Candidatus Acetithermum autotrophicum",11.1240720899084,-22.180287517885,3.78625900246237,-5.85810096548076,4.68189993128504e-09,1.69187694426016e-06,"Downregulated"
"Streptomyces sp. NBC_01136",14.8767555721312,-23.2795258096141,4.00166326081963,-5.8174624630574,5.97476732860985e-09,2.03685643170735e-06,"Downregulated"
"Streptomyces sp. EAS-AB2608",10.9380402754175,-22.9403791790414,3.94372372275566,-5.81693363728124,5.99369229536247e-09,2.03685643170735e-06,"Downregulated"
