"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Microbacterium sp. J1-1",13.3009173476428,-23.1516126823748,2.37868484223453,-9.73294665661815,2.18179401306462e-22,2.66920679558325e-18,"Downregulated"
"Pseudomonas savastanoi",19.5371774090255,20.7325158011547,2.18828638335172,9.47431559181914,2.68515132602952e-21,1.64250706613226e-17,"Upregulated"
"[Mycoplasma] phocae",17.0570749864554,-23.4985000210455,2.50295187502099,-9.3883147556916,6.09679002928009e-21,2.48627097394042e-17,"Downregulated"
"Caulobacter henricii",35.0553917981373,-20.9553115197716,2.35612940483475,-8.89395611156652,5.89709945141953e-19,1.80362786721666e-15,"Downregulated"
"Flavobacterium sp. N502536",20.577372278048,20.7714710916997,2.38263411092132,8.71786020207177,2.83508700874866e-18,6.93689089300623e-15,"Upregulated"
"[Mycobacterium] stephanolepidis",37.5339790647679,-21.2079876593782,2.51547699870095,-8.43100043066602,3.42722491906563e-17,6.98811160997481e-14,"Downregulated"
"Sphingopyxis sp. GC21",14.1298491486694,-23.3491171324921,2.87998681493836,-8.10736945439517,5.17273955391277e-16,9.0404708146527e-13,"Downregulated"
"Polynucleobacter sp. KF022",13.6430716839013,-22.9528527638622,2.91750912736638,-7.86727710585831,3.62443233461443e-15,5.54266314770912e-12,"Downregulated"
"Brevibacillus sp. NSP2.1",25.6189965774585,19.2493867583755,2.4542892313803,7.84316147919925,4.39342429781386e-15,5.97212809549497e-12,"Upregulated"
"Chryseobacterium sp. PET-29",20.9772229815429,19.9038155162852,2.59664355222018,7.6652089961547,1.78540232802821e-14,2.18426120810971e-11,"Upregulated"
"Acinetobacter sp. YH16040_T",16.4680265157591,-23.7953682946592,3.14364141538796,-7.56936467950259,3.75053915786199e-14,4.17128145975306e-11,"Downregulated"
"Streptomyces sp. NBC_01579",18.5080689469652,-24.3731596745478,3.22791097384107,-7.5507533733326,4.32747626936563e-14,4.41186205661825e-11,"Downregulated"
"Colwellia sp. Arc7-D",11.078602558781,-23.0012986150497,3.05831216036667,-7.52091265016322,5.4395183797716e-14,5.11900521985582e-11,"Downregulated"
"Streptomyces sp. NBC_01578",31.6334925688079,-24.0307089934692,3.24843403416976,-7.3976287468651,1.38637797310293e-13,1.2114962944958e-10,"Downregulated"
"Sulfitobacter sp. TCYB15",14.2877750161669,-23.4676262225854,3.27828042037056,-7.15851703129555,8.15544577138795e-13,6.65158157114401e-10,"Downregulated"
"Brucella inopinata",16.1383965802405,-23.5695954916937,3.31528426332051,-7.10937392381762,1.16570530785531e-12,8.91327421018867e-10,"Downregulated"
"Allofrancisella guangzhouensis",11.7537948175924,-22.7785683109915,3.23301590790825,-7.04560972164507,1.84651139511522e-12,1.3288364945788e-09,"Downregulated"
"Moritella yayanosii",10.7498750829555,20.4179462392159,2.96007358348281,6.89778333658592,5.28202220168058e-12,3.59001442307556e-09,"Upregulated"
"Neisseria macacae",9.91206743121004,-23.5835117961618,3.43200744342522,-6.87163771784391,6.34689759751668e-12,4.0867339583168e-09,"Downregulated"
"Pseudomonas sp. OE 28.3",11.850729247718,20.9163698851427,3.06464260880744,6.82506006574189,8.78885344216761e-12,5.37614165057393e-09,"Upregulated"
"uncultured bacterium Contig87",15.1379775125818,21.6449135958597,3.21601096678448,6.7303606298026,1.69243089969487e-11,9.85961886993668e-09,"Upregulated"
"Candidatus Tremblaya princeps",16.003345745307,-24.4240841245124,3.67973258793698,-6.63746170158673,3.19130841226241e-11,1.77465759616447e-08,"Downregulated"
"Dolichospermum sp. DL01",9.56375246894223,-22.1356299695139,3.3429590915417,-6.62156770793907,3.55409160145369e-11,1.89046768052976e-08,"Downregulated"
