CECA SIGNIFICANT GSEA RESULTS (FDR q-val <= 0.05)
==================================================

Comparison      Direction    Name                                     NES    FDR q val                               
LF vs LC        downregulated E2F TARGETS                              -0.6708121 0.00001                               
LF vs LC        downregulated G2M CHECKPOINT                           -0.61132604 0.00001                               
LF vs LC        downregulated ALLOGRAFT REJECTION                      -0.49766994 0.00001                               
LF vs LC        downregulated EPITHELIAL MESENCHYMAL TRANSITION        -0.4767874 0.00001                               
LF vs LC        downregulated MYC TARGETS V1                           -0.44580394 0.00001                               
LF vs LC        downregulated MITOTIC SPINDLE                          -0.3826888 0.00001                               
LF vs LC        upregulated  TGF BETA SIGNALING                       0.49428263 0.00001                               
LF vs LC        upregulated  ADIPOGENESIS                             0.41522247 0.00001                               
LF vs LC        upregulated  P53 PATHWAY                              0.43758878 0.00001                               
LF vs LC        upregulated  PEROXISOME                               0.49163064 0.00001                               
LF vs LC        upregulated  PROTEIN SECRETION                        0.50182194 0.00001                               
LF vs LC        upregulated  BILE ACID METABOLISM                     0.51471573 0.00001                               
LF vs LC        upregulated  XENOBIOTIC METABOLISM                    0.49371827 0.00001                               
LF vs LC        upregulated  FATTY ACID METABOLISM                    0.52509284 0.00001                               
LF vs LC        upregulated  OXIDATIVE PHOSPHORYLATION                0.53651494 0.00001                               
NC vs LC        downregulated E2F TARGETS                              -0.47402394 0.00001                               
NC vs LC        downregulated MYC TARGETS V2                           -0.55506766 0.00001                               
NC vs LC        downregulated EPITHELIAL MESENCHYMAL TRANSITION        -0.43099046 0.00001                               
NC vs LC        upregulated  APOPTOSIS                                0.47113037 0.00001                               
NC vs LC        upregulated  BILE ACID METABOLISM                     0.5104245 0.00001                               
NC vs LC        upregulated  MTORC1 SIGNALING                         0.47617766 0.00001                               
NC vs LC        upregulated  P53 PATHWAY                              0.47709414 0.00001                               
NC vs LC        upregulated  GLYCOLYSIS                               0.48555124 0.00001                               
NC vs LC        upregulated  PEROXISOME                               0.5291399 0.00001                               
NC vs LC        upregulated  HYPOXIA                                  0.49739543 0.00001                               
NC vs LC        upregulated  TGF BETA SIGNALING                       0.59608054 0.00001                               
NC vs LC        upregulated  HEME METABOLISM                          0.51877135 0.00001                               
NC vs LC        upregulated  CHOLESTEROL HOMEOSTASIS                  0.5850448 0.00001                               
NC vs LC        upregulated  PI3K AKT MTOR SIGNALING                  0.5593486 0.00001                               
NC vs LC        upregulated  MITOTIC SPINDLE                          0.52825856 0.00001                               
NC vs LC        upregulated  ADIPOGENESIS                             0.53696096 0.00001                               
NC vs LC        upregulated  XENOBIOTIC METABOLISM                    0.5408359 0.00001                               
NC vs LC        upregulated  ANDROGEN RESPONSE                        0.58517635 0.00001                               
NC vs LC        upregulated  INTERFERON GAMMA RESPONSE                0.6193102 0.00001                               
NC vs LC        upregulated  OXIDATIVE PHOSPHORYLATION                0.6187056 0.00001                               
NC vs LC        upregulated  FATTY ACID METABOLISM                    0.6333419 0.00001                               
NC vs LC        upregulated  INTERFERON ALPHA RESPONSE                0.7483215 0.00001                               
NC vs LC        upregulated  PROTEIN SECRETION                        0.74243295 0.00001                               
NC vs LF        downregulated MYC TARGETS V2                           -0.5808869 0.00001                               
NC vs LF        upregulated  APOPTOSIS                                0.43772104 0.00001                               
NC vs LF        upregulated  XENOBIOTIC METABOLISM                    0.43901092 0.00001                               
NC vs LF        upregulated  GLYCOLYSIS                               0.43609574 0.002493766                               
NC vs LF        upregulated  IL2 STAT5 SIGNALING                      0.4427837 0.00001                               
NC vs LF        upregulated  HYPOXIA                                  0.43902096 0.00001                               
NC vs LF        upregulated  TGF BETA SIGNALING                       0.55829835 0.00001                               
NC vs LF        upregulated  HEME METABOLISM                          0.47151324 0.00001                               
NC vs LF        upregulated  PI3K AKT MTOR SIGNALING                  0.5158291 0.00001                               
NC vs LF        upregulated  CHOLESTEROL HOMEOSTASIS                  0.56524545 0.00001                               
NC vs LF        upregulated  ADIPOGENESIS                             0.48643276 0.00001                               
NC vs LF        upregulated  MTORC1 SIGNALING                         0.49613997 0.00001                               
NC vs LF        upregulated  OXIDATIVE PHOSPHORYLATION                0.520374 0.00001                               
NC vs LF        upregulated  FATTY ACID METABOLISM                    0.5373604 0.00001                               
NC vs LF        upregulated  ANDROGEN RESPONSE                        0.60661036 0.00001                               
NC vs LF        upregulated  INTERFERON ALPHA RESPONSE                0.6968626 0.00001                               
NC vs LF        upregulated  INTERFERON GAMMA RESPONSE                0.6161645 0.00001                               
NC vs LF        upregulated  MITOTIC SPINDLE                          0.6214795 0.00001                               
NC vs LF        upregulated  PROTEIN SECRETION                        0.69367796 0.00001                               
NC vs RC        downregulated EPITHELIAL MESENCHYMAL TRANSITION        -0.4665181 0.00001                               
NC vs RC        upregulated  UV RESPONSE UP                           0.46508303 0.00001                               
NC vs RC        upregulated  HEME METABOLISM                          0.45040345 0.00001                               
NC vs RC        upregulated  XENOBIOTIC METABOLISM                    0.47596806 0.00001                               
NC vs RC        upregulated  CHOLESTEROL HOMEOSTASIS                  0.54140556 0.00001                               
NC vs RC        upregulated  APOPTOSIS                                0.4953372 0.00001                               
NC vs RC        upregulated  TNFA SIGNALING VIA NFKB                  0.48704186 0.00001                               
NC vs RC        upregulated  P53 PATHWAY                              0.49391565 0.00001                               
NC vs RC        upregulated  TGF BETA SIGNALING                       0.60349625 0.00001                               
NC vs RC        upregulated  GLYCOLYSIS                               0.515996 0.00001                               
NC vs RC        upregulated  HYPOXIA                                  0.5216836 0.00001                               
NC vs RC        upregulated  ADIPOGENESIS                             0.5146561 0.00001                               
NC vs RC        upregulated  PI3K AKT MTOR SIGNALING                  0.56066626 0.00001                               
NC vs RC        upregulated  ANDROGEN RESPONSE                        0.55820113 0.00001                               
NC vs RC        upregulated  MTORC1 SIGNALING                         0.52652866 0.00001                               
NC vs RC        upregulated  FATTY ACID METABOLISM                    0.6082655 0.00001                               
NC vs RC        upregulated  MITOTIC SPINDLE                          0.5898419 0.00001                               
NC vs RC        upregulated  INTERFERON ALPHA RESPONSE                0.7210153 0.00001                               
NC vs RC        upregulated  INTERFERON GAMMA RESPONSE                0.64081633 0.00001                               
NC vs RC        upregulated  OXIDATIVE PHOSPHORYLATION                0.655502 0.00001                               
NC vs RC        upregulated  PROTEIN SECRETION                        0.72048813 0.00001                               
NC vs RF        downregulated E2F TARGETS                              -0.4856733 0.00001                               
NC vs RF        downregulated MYC TARGETS V2                           -0.54687595 0.00001                               
NC vs RF        downregulated EPITHELIAL MESENCHYMAL TRANSITION        -0.42353752 0.00001                               
NC vs RF        upregulated  UV RESPONSE UP                           0.46309742 0.00001                               
NC vs RF        upregulated  COMPLEMENT                               0.46191362 0.001344086                               
NC vs RF        upregulated  IL6 JAK STAT3 SIGNALING                  0.51868236 0.00001                               
NC vs RF        upregulated  MTORC1 SIGNALING                         0.46982032 0.00001                               
NC vs RF        upregulated  INFLAMMATORY RESPONSE                    0.47838274 0.00001                               
NC vs RF        upregulated  XENOBIOTIC METABOLISM                    0.48796123 0.00001                               
NC vs RF        upregulated  PEROXISOME                               0.52227926 0.00001                               
NC vs RF        upregulated  ADIPOGENESIS                             0.487799 0.00001                               
NC vs RF        upregulated  P53 PATHWAY                              0.4932786 0.00001                               
NC vs RF        upregulated  GLYCOLYSIS                               0.48845437 0.00001                               
NC vs RF        upregulated  IL2 STAT5 SIGNALING                      0.49651584 0.00001                               
