NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	-0.5299483	-1.5777985	0.008474576	0.05423196	0.154	1261	tags=19%, list=7%, signal=20%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	-0.37829822	-1.2926893	0.08513342	0.46921843	0.957	2748	tags=19%, list=15%, signal=22%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	171	-0.34418112	-1.2672184	0.07455622	0.38430727	0.975	5654	tags=50%, list=31%, signal=71%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	155	-0.34762266	-1.2666806	0.060747664	0.28903714	0.975	5372	tags=46%, list=30%, signal=65%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	132	-0.32966885	-1.1940485	0.15096618	0.40230545	0.999	6142	tags=51%, list=34%, signal=76%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	89	-0.30276865	-1.0348315	0.3811944	0.85965437	1.0	1819	tags=12%, list=10%, signal=14%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	31	-0.3576353	-1.0299103	0.41218132	0.75369143	1.0	2127	tags=23%, list=12%, signal=26%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	164	-0.26866028	-0.9808092	0.50119334	0.8212662	1.0	3812	tags=27%, list=21%, signal=34%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	122	-0.24942283	-0.882818	0.710303	1.0	1.0	5988	tags=43%, list=33%, signal=63%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.28567132	-0.85500526	0.7	0.9940731	1.0	2857	tags=22%, list=16%, signal=26%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	91	-0.25184634	-0.8536896	0.74527115	0.90646803	1.0	842	tags=9%, list=5%, signal=9%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	-0.26422694	-0.7290872	0.8652695	1.0	1.0	7173	tags=72%, list=39%, signal=119%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.21919282	-0.6408308	0.95552367	0.9895456	1.0	5818	tags=46%, list=32%, signal=67%	
