NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	172	-0.77759284	-3.057361	0.0	0.0	0.0	2519	tags=62%, list=14%, signal=72%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	173	-0.6622831	-2.6079986	0.0	0.0	0.0	3948	tags=65%, list=22%, signal=83%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.7863628	-2.5636494	0.0	0.0	0.0	2282	tags=66%, list=13%, signal=75%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	168	-0.6336102	-2.4966106	0.0	0.0	0.0	3256	tags=54%, list=18%, signal=66%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	132	-0.49274385	-1.8863649	0.0	1.0344827E-4	0.001	2706	tags=35%, list=15%, signal=41%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	165	-0.43439427	-1.7070264	0.0	0.0022550155	0.025	4502	tags=45%, list=25%, signal=59%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	87	-0.46070966	-1.644714	0.0	0.0043447274	0.057	3747	tags=43%, list=21%, signal=53%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	97	-0.37553808	-1.380051	0.03633218	0.05942128	0.621	3200	tags=32%, list=18%, signal=39%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	170	-0.33989957	-1.3283739	0.03898305	0.08071873	0.76	3919	tags=35%, list=22%, signal=44%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	124	-0.3513291	-1.3254845	0.037037037	0.07411375	0.766	2437	tags=24%, list=14%, signal=28%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	140	-0.32830104	-1.2674854	0.0703259	0.10933363	0.912	3723	tags=26%, list=21%, signal=33%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	37	-0.36849353	-1.1354327	0.26386234	0.25921625	0.998	2371	tags=32%, list=13%, signal=37%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	174	-0.28001064	-1.1086768	0.20819113	0.2842521	0.999	941	tags=11%, list=5%, signal=11%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	30	-0.3533568	-1.039759	0.38857144	0.39448965	1.0	2592	tags=23%, list=14%, signal=27%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	42	-0.30456573	-0.9818996	0.4886562	0.4938099	1.0	4839	tags=36%, list=27%, signal=49%	
