NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	60	0.6817771	2.472309	0.0	0.0	0.0	2235	tags=52%, list=12%, signal=59%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	154	0.5554813	2.3442852	0.0	0.0	0.0	2532	tags=36%, list=14%, signal=41%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	133	0.49602962	2.0360415	0.0	0.0	0.0	2491	tags=35%, list=14%, signal=41%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	48	0.561977	1.9430115	0.0	0.0	0.0	3830	tags=50%, list=21%, signal=63%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	168	0.3980157	1.6969256	0.0	0.0052821105	0.022	2674	tags=31%, list=15%, signal=36%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	0.43500444	1.4296507	0.050847456	0.07445393	0.322	1826	tags=31%, list=10%, signal=35%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	91	0.3605319	1.3993454	0.028824834	0.08488656	0.403	6150	tags=51%, list=34%, signal=76%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	166	0.3244707	1.3872	0.013921114	0.08226782	0.438	3868	tags=34%, list=21%, signal=43%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	177	0.32638776	1.3862796	0.004454343	0.073656805	0.442	2480	tags=27%, list=14%, signal=31%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	0.41486222	1.3582456	0.06277056	0.08477879	0.529	2408	tags=24%, list=13%, signal=28%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	145	0.32125416	1.3469968	0.019823788	0.08589273	0.573	2075	tags=21%, list=12%, signal=23%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	157	0.30400357	1.3008622	0.025641026	0.11825126	0.725	4180	tags=37%, list=23%, signal=48%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	68	0.34984842	1.2863141	0.07317073	0.12501723	0.776	3765	tags=37%, list=21%, signal=46%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	147	0.30286098	1.2764832	0.04819277	0.12491125	0.792	3904	tags=34%, list=22%, signal=43%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	60	0.3454729	1.2665123	0.108545035	0.124978475	0.812	3959	tags=33%, list=22%, signal=43%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	94	0.31574383	1.2427975	0.09090909	0.14105447	0.863	3904	tags=31%, list=22%, signal=39%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	164	0.29107988	1.2326646	0.06666667	0.14361839	0.883	2611	tags=23%, list=14%, signal=26%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	154	0.28816688	1.2046303	0.109004736	0.16987057	0.937	3585	tags=28%, list=20%, signal=35%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	90	0.30233517	1.1828132	0.13646056	0.1912501	0.958	3130	tags=28%, list=17%, signal=33%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	121	0.28900024	1.1651263	0.14915967	0.20817664	0.979	1620	tags=17%, list=9%, signal=18%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		160	0.26681817	1.1285106	0.17	0.2568727	0.997	2470	tags=23%, list=14%, signal=27%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		135	0.2676831	1.1022518	0.2406542	0.28941128	0.999	3159	tags=28%, list=18%, signal=34%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		133	0.24714933	1.0234523	0.3797753	0.4444895	1.0	2725	tags=22%, list=15%, signal=25%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		91	0.24951021	0.95522475	0.54603857	0.60545236	1.0	3255	tags=27%, list=18%, signal=33%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		31	0.27926555	0.8823875	0.65810275	0.7783822	1.0	3453	tags=26%, list=19%, signal=32%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		171	0.18030259	0.7757461	0.97630334	0.93648195	1.0	3501	tags=19%, list=19%, signal=23%	
