NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	173	-0.4590681	-1.8022641	0.0	0.0015194805	0.003	4446	tags=55%, list=24%, signal=72%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	37	-0.57581586	-1.7264854	0.0019417476	0.0039371965	0.017	3073	tags=43%, list=17%, signal=52%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	107	-0.37359437	-1.373801	0.027027028	0.12511502	0.558	3754	tags=33%, list=20%, signal=41%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	34	-0.4397937	-1.3311247	0.08946322	0.1330783	0.697	3848	tags=50%, list=21%, signal=63%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	151	-0.34466943	-1.3307991	0.036217302	0.106932156	0.698	3011	tags=37%, list=16%, signal=44%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	133	-0.3539174	-1.3301975	0.028037382	0.08974948	0.7	3081	tags=33%, list=17%, signal=39%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	29	-0.44758323	-1.3122009	0.116412215	0.09080307	0.748	3268	tags=41%, list=18%, signal=50%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	90	-0.32534668	-1.169791	0.19066148	0.24090087	0.982	3667	tags=23%, list=20%, signal=29%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	50	-0.35006902	-1.138715	0.25984251	0.26490676	0.991	1200	tags=12%, list=7%, signal=13%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	165	-0.2787838	-1.095565	0.25139666	0.31239364	1.0	2785	tags=22%, list=15%, signal=25%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	121	-0.27975693	-1.0559212	0.31471136	0.35884824	1.0	4552	tags=35%, list=25%, signal=46%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	90	-0.28699258	-1.0239344	0.37966806	0.39367518	1.0	832	tags=11%, list=5%, signal=12%	
