NAME	NES	FDR q-val
KEGG_DNA_REPLICATION	-2.2990887	0
KEGG_CELL_CYCLE	-2.1653657	0
KEGG_PRIMARY_IMMUNODEFICIENCY	-1.950745	0.002569622
KEGG_MISMATCH_REPAIR	-1.9582123	0.003185853
KEGG_HEMATOPOIETIC_CELL_LINEAGE	-1.8988974	0.003209885
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	-1.8799806	0.003349886
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	-1.9223968	0.003383836
KEGG_HOMOLOGOUS_RECOMBINATION	-1.8999892	0.003607088
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	-1.853442	0.00420825
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-1.8036886	0.006395799
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	-1.6847538	0.027524093
KEGG_LEISHMANIA_INFECTION	-1.6732954	0.027623398
