NAME	NES	FDR q-val
KEGG_RIBOSOME	-2.8353121	0
KEGG_DNA_REPLICATION	-2.3286772	0
KEGG_PARKINSONS_DISEASE	-2.1948118	0
KEGG_OXIDATIVE_PHOSPHORYLATION	-2.1644526	0
KEGG_SPLICEOSOME	-2.141258	0
KEGG_CELL_CYCLE	-1.9550422	0.002037838
KEGG_HOMOLOGOUS_RECOMBINATION	-1.9579662	0.002377477
KEGG_RNA_POLYMERASE	-1.9103813	0.002843699
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	-1.8700657	0.004245671
KEGG_MISMATCH_REPAIR	-1.8479354	0.004633559
KEGG_PYRIMIDINE_METABOLISM	-1.7599423	0.009295894
KEGG_HUNTINGTONS_DISEASE	-1.7644408	0.009757143
KEGG_BASE_EXCISION_REPAIR	-1.6990571	0.017204773
KEGG_GLUTATHIONE_METABOLISM	-1.6916548	0.01730697
KEGG_NUCLEOTIDE_EXCISION_REPAIR	-1.5567127	0.050001986
