NAME	NES	FDR q-val
KEGG_OXIDATIVE_PHOSPHORYLATION	2.5535567	0
KEGG_PARKINSONS_DISEASE	2.4844635	0
KEGG_HUNTINGTONS_DISEASE	2.3376317	0
KEGG_PROTEASOME	2.1926665	0
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2.1178029	0
KEGG_ALZHEIMERS_DISEASE	2.1059837	0
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	2.0764687	1.82E-04
KEGG_FATTY_ACID_METABOLISM	2.0953596	2.08E-04
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1.9975578	4.74E-04
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	2.0134468	5.27E-04
KEGG_ADHERENS_JUNCTION	1.9774406	6.92E-04
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1.9612036	8.00E-04
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1.9301783	0.001192234
KEGG_ACUTE_MYELOID_LEUKEMIA	1.9231699	0.001209753
KEGG_ENDOMETRIAL_CANCER	1.8451185	0.003196895
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1.8481921	0.003279249
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1.8510331	0.003405634
KEGG_RENAL_CELL_CARCINOMA	1.8498594	0.003484203
KEGG_ENDOCYTOSIS	1.8285533	0.003498909
KEGG_PROSTATE_CANCER	1.8288742	0.003673855
KEGG_ERBB_SIGNALING_PATHWAY	1.8335683	0.003718634
KEGG_CHRONIC_MYELOID_LEUKEMIA	1.818287	0.00386431
KEGG_RIBOSOME	1.8131424	0.004024434
KEGG_LYSOSOME	1.808176	0.004105929
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.8012505	0.00448072
KEGG_GLIOMA	1.7701843	0.005969977
KEGG_TIGHT_JUNCTION	1.7637247	0.006005608
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1.7720475	0.006088439
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1.7751578	0.006209198
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1.7400291	0.008108756
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1.7287209	0.009449534
KEGG_NON_SMALL_CELL_LUNG_CANCER	1.704807	0.012050107
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1.6943761	0.013242025
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	1.6722844	0.015629971
KEGG_THYROID_CANCER	1.6728717	0.01600333
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1.6634791	0.01648701
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1.6536169	0.01782348
KEGG_BLADDER_CANCER	1.6391245	0.020055084
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1.6249654	0.022470616
KEGG_VIBRIO_CHOLERAE_INFECTION	1.5895395	0.03147914
KEGG_JAK_STAT_SIGNALING_PATHWAY	1.5840619	0.0323898
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1.578038	0.03295941
KEGG_PROTEIN_EXPORT	1.5584112	0.037151057
KEGG_RNA_DEGRADATION	1.5593863	0.037558734
KEGG_CARDIAC_MUSCLE_CONTRACTION	1.5521351	0.037742496
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1.5530292	0.038260024
KEGG_P53_SIGNALING_PATHWAY	1.5476621	0.03840743
KEGG_PANCREATIC_CANCER	1.5365206	0.040221155
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1.5380942	0.04063883
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1.5290713	0.04125249
KEGG_APOPTOSIS	1.5295391	0.041818384
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.5192695	0.044159364
KEGG_PATHWAYS_IN_CANCER	1.5153904	0.04453952
KEGG_PROPANOATE_METABOLISM	1.5096507	0.044875115
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1.5115566	0.045102183
KEGG_PEROXISOME	1.50718	0.04512884
