"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Brevibacillus agri",22.85761419723,-23.8754908333533,2.48034555619434,-9.62587280378225,6.21768004896435e-22,4.68684170605013e-18,"Downregulated"
"Brevundimonas sp. Bb-A",7.38272219419947,-20.3256991898096,2.11770537445744,-9.59798253098215,8.15244687084733e-22,4.68684170605013e-18,"Downregulated"
"Burkholderia seminalis",8.42909613620397,-20.3807998328787,2.8739903445085,-7.09146426738053,1.3270034500685e-12,5.08596188962922e-09,"Downregulated"
"Flavobacterium sp. WC2430",21.103391013927,-22.8313383836395,3.34057728336443,-6.834548776146,8.22635436302843e-12,2.36466556165252e-08,"Downregulated"
"Weizmannia sp. FSL W8-0676",13.8305220733474,-21.8145894574283,3.34837098333297,-6.51498581430007,7.26965281455631e-11,1.67172936123537e-07,"Downregulated"
"Corynebacterium stationis",1120.43090655516,5.07657126606604,1.08463558072766,4.68043954694928,2.8626051438311e-06,0.00470203342053857,"Upregulated"
"Microbacterium plantarum",4.75488964563909,19.2019112970187,4.07844216351907,4.70814848590385,2.49976985715837e-06,0.00470203342053857,"Upregulated"
"Bacillus sp. FDAARGOS_527",33.4917380264543,-23.0223931000842,4.94960980595226,-4.65135515781427,3.29760846584811e-06,0.0047394877675402,"Downregulated"
"Aquincola tertiaricarbonis",39.927866143554,2.44702370040087,0.533789735765138,4.58424644845088,4.55626592441231e-06,0.00582088284432142,"Upregulated"
"Levilactobacillus koreensis",18.5995604316908,3.01530219049494,0.670879188355283,4.49455318160519,6.97161789774575e-06,0.00801596625882806,"Upregulated"
"Limosilactobacillus pontis",180.404163623106,6.47908870521276,1.48099350023923,4.37482588827444,1.21529439785705e-05,0.012703140896873,"Upregulated"
"Amycolatopsis sp. cg13",47.777239153159,2.66520829924526,0.612339841696923,4.3524985927086,1.34594736346365e-05,0.0128964189875876,"Upregulated"
"Bacteroides sp. PHL 2737",88.575454662276,-24.2495171023897,5.69907100555355,-4.2549947313798,2.09053937730285e-05,0.0184900167386371,"Downregulated"
"Brachybacterium sp. P6-10-X1",93.494057969362,1.68806957411801,0.407203589292939,4.14551742299017,3.39047217597938e-05,0.025989099386274,"Upregulated"
"Brevibacillus sp. NSP2.1",6.21101519187416,-22.046683756349,5.31153232452483,-4.15072005766647,3.31430938665353e-05,0.025989099386274,"Downregulated"
"Limosilactobacillus fermentum",239.194614196595,3.44027668081751,0.851766043957497,4.03899252056727,5.3681276690329e-05,0.0363074893756119,"Upregulated"
"Chryseobacterium capnotolerans",30.6264020392816,3.07435793329552,0.760702445793483,4.04147239212394,5.31166353417455e-05,0.0363074893756119,"Upregulated"
