"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Pseudomonas sp. NIBR-H-19",18.4282434031707,-23.063086712677,3.16726456348851,-7.28170515925412,3.2962687879515e-13,1.30762982818036e-09,"Downregulated"
"uncultured Rhodobacter sp.",22.1132152787862,-23.7639966921886,3.85615104206421,-6.16262081878091,7.15506997944183e-10,1.41920813042229e-06,"Downregulated"
"Methylobacterium radiodurans",17767.2933423566,-9.35996483885263,1.61612698524595,-5.79160234579473,6.97180538286023e-09,7.47703032438607e-06,"Downregulated"
"Streptomyces sp. NBC_00487",214.989824205554,-24.7031598058885,4.27505007904898,-5.77844922260745,7.53922896333357e-09,7.47703032438607e-06,"Downregulated"
"Streptomyces sp. NBC_00371",19.5714787760339,-22.880222227239,4.09447939253192,-5.58806627992098,2.29612013454894e-08,1.82174171475113e-05,"Downregulated"
"Methylobacterium organophilum",798.046115856858,-6.00568846858517,1.22598431672599,-4.89866663598393,9.64891889618283e-07,0.000637954354352622,"Downregulated"
"Bacillus pumilus",72.5317904277464,2.0992916250782,0.431574919106276,4.86425770391268,1.14887147448682e-06,0.000651081877041317,"Upregulated"
"Methylobacterium durans",569.825086866288,-5.39188844640094,1.12214375904311,-4.80498902475632,1.54759994251095e-06,0.000767416121492619,"Downregulated"
"Methylobacterium sp. FF17",452.616687162393,-5.11954821593273,1.0900256573005,-4.69672267037415,2.6436900858643e-06,0.00116527984118041,"Downregulated"
"Romboutsia ilealis",43.361670643998,3.23238981047177,0.701467186994044,4.6080413601716,4.06479819205858e-06,0.00161250544278964,"Upregulated"
"Bacillus altitudinis",64.8675627679205,2.30013578889406,0.513510237329118,4.47924037670131,7.49091395920408e-06,0.00247637130634688,"Upregulated"
"Methylobacterium terrae",133.931742099626,-3.84994412113695,0.858999423249294,-4.48189372068955,7.3983587808986e-06,0.00247637130634688,"Downregulated"
"Streptococcus anginosus",74.6221854003696,2.86356856359796,0.654074028889953,4.37804963523441,1.19746082909051e-05,0.00365409777615541,"Upregulated"
"Methylobacterium brachiatum",340.690115581838,-4.67096573188973,1.07699624094974,-4.33703067317176,1.44420477012635e-05,0.00409225737363658,"Downregulated"
"Methylobacterium nodulans",203.021158267688,-3.82045501887578,0.888273469254625,-4.30098967391386,1.70036984633761e-05,0.00449691145361419,"Downregulated"
"Methylobacterium sp. AMS5",143.475138798342,-4.26701896162313,1.00522156060473,-4.24485419816916,2.18735601123168e-05,0.00542327581034753,"Downregulated"
"Kocuria flava",49.3262363265492,1.49306395419564,0.355542810453712,4.19939290092894,2.67631579117073e-05,0.00589830263531905,"Upregulated"
"uncultured compost bacterium",15.8652174776466,-22.4203149460928,5.3293229762865,-4.20697245144549,2.58814677574989e-05,0.00589830263531905,"Downregulated"
"Nocardioides sp. TF02-7",151.898934785259,-1.66723930380847,0.400275002368033,-4.16523463605036,3.11032512709051e-05,0.00649403146272002,"Downregulated"
"Streptomyces sp. CG4",29.7799659901722,-1.43351280443803,0.352962381755021,-4.06137559847094,4.87844116058356e-05,0.00967638804201749,"Downregulated"
"Corynebacterium xerosis",36.7085529877285,2.29616887057403,0.567325620225985,4.04735620728602,5.17993830717473e-05,0.00978515012598198,"Upregulated"
"Roseomonas mucosa",150.770427222164,-3.87031301509699,0.96511072135901,-4.01022694022822,6.06604161577137e-05,0.0109381759498932,"Downregulated"
"Romboutsia hominis",28.9396353333488,3.52533360234318,0.887488281559393,3.97225932510215,7.11941531032434e-05,0.012279443711329,"Upregulated"
"Romboutsia sp. CE17",50.6764188855336,2.83537300925784,0.728700307059786,3.89100015711289,9.98318682972317e-05,0.0165013758972966,"Upregulated"
"Enterococcus sp. DIV2402",25.7798842639904,2.21268538927071,0.582979285648182,3.79547857658535,0.000147358920249385,0.0233829134651725,"Upregulated"
"Streptomyces sp. NBC_01808",216.662673076484,-1.83362418042099,0.491211178776566,-3.7328632971829,0.000189315353434297,0.0288851541182252,"Downregulated"
"Vagococcus teuberi",29.7169481507455,2.39379609404845,0.64634774321038,3.70357306758523,0.000212583913418862,0.0312340883160232,"Upregulated"
"Flavobacterium okayamense",5014.4205010436,-4.78500975600569,1.30246787010501,-3.67380252967002,0.000238967439523008,0.0338565654495633,"Downregulated"
"Sporosarcina sp. Te-1",1832.97621833279,-4.32105944205282,1.18719189941934,-3.63973123819852,0.000272922753019321,0.0373339503871602,"Downregulated"
"Aerococcus urinaeequi",42.1563133831991,2.30411209410468,0.63612624209115,3.62209879367706,0.000292222470649968,0.0386415513689474,"Upregulated"
"Intestinibacter bartlettii",37.4887585004525,1.26529048715075,0.351207947121168,3.602681822898,0.000314950951400737,0.0392099438039415,"Upregulated"
"Staphylococcus sp. KG4-3",18.7101910308324,20.7838304450726,5.7707533496906,3.60158010326102,0.000316288934138172,0.0392099438039415,"Upregulated"
"Paraclostridium ghonii",22.3487149629279,2.27650729247282,0.635386686107532,3.58286905005678,0.000339840994246965,0.0406203320246057,"Upregulated"
"Streptomyces nigra",187.344130024094,-1.40696941025869,0.394222585371906,-3.56897210475998,0.000358384577983665,0.0406203320246057,"Downregulated"
"Lentibacillus sp. CBA3610",18.1406830978028,2.00495338878916,0.561233023205266,3.572408083435,0.000353713650624434,0.0406203320246057,"Upregulated"
"Mesorhizobium sp. Pch-S",134.850169162882,-1.77774055165022,0.501994806501088,-3.54135247741128,0.000398081396058652,0.0424178087795828,"Downregulated"
"Streptomyces flavofungini",30.468807443162,-1.7514789644397,0.496239011847609,-3.52950679536168,0.000416335012428357,0.0424178087795828,"Downregulated"
"Pseudomonas lijiangensis",42.5707489840725,-1.35079583920882,0.382761945853756,-3.5290755882115,0.00041701400111009,0.0424178087795828,"Downregulated"
