"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diff_expression"
"Streptomyces sp. NBC_00656",28.9326012635424,-23.3821216728099,2.18972323672983,-10.6781173440572,1.28858375656935e-26,8.82164439747376e-23,"Downregulated"
"Acinetobacter sp. TAC-1",39.0989974256673,-22.5969805354365,2.7534395890548,-8.20681907286498,2.27125426172478e-16,7.77450333788391e-13,"Downregulated"
"Methylobacterium radiodurans",17767.2933423566,-9.38046803601643,1.61588007026272,-5.80517589680481,6.42984667505802e-09,1.03171345642034e-05,"Downregulated"
"Streptomyces sp. NBC_00371",19.5714787760339,-23.7828518989218,4.09447939253192,-5.80851669257397,6.30287464990311e-09,1.03171345642034e-05,"Downregulated"
"Rhodococcus sp. RHZ01",12.8232936522374,-22.3794693434079,3.87285865727217,-5.7785401750682,7.53515524700805e-09,1.03171345642034e-05,"Downregulated"
"Corynebacterium sp. L2-79-05",30.8385242983532,-26.3687706325651,5.8101773851917,-4.53837617759669,5.66890668996464e-06,0.00640563709692788,"Downregulated"
"Dietzia cercidiphylli",36.3010322799001,-23.6234056131647,5.24735155377925,-4.50196739651466,6.73273116042954e-06,0.00640563709692788,"Downregulated"
"Bradyrhizobium sp. 12LoS14_2",51.2365813810664,-24.0903318739306,5.37802965421798,-4.47939736721916,7.48540706623182e-06,0.00640563709692788,"Downregulated"
"Flavobacterium okayamense",5014.4205010436,-5.7057439288502,1.30271971970028,-4.37987069863572,1.18749750092604e-05,0.00903289765704408,"Downregulated"
"uncultured compost bacterium",15.8652174776466,-22.8676584483227,5.3293229762865,-4.29091247613914,1.77940441810331e-05,0.0121818026463352,"Downregulated"
"Sporosarcina sp. Te-1",1832.97621833279,-4.99653562441705,1.18753145431895,-4.20749749932525,2.58214259862728e-05,0.0160703165729112,"Downregulated"
"Roseomonas sp. FDAARGOS_362",12.302082001265,6.83999480175369,1.66184544260049,4.11590309568761,3.85666327519335e-05,0.022002263984978,"Upregulated"
"Candidatus Phytoplasma citri",21.0876539490856,-23.0549983627525,5.74748287167024,-4.01132093431583,6.03799644712683e-05,0.0317970182131002,"Downregulated"
