pathway	10M_3	11M_7	12M_5	13M_2	14M_4	15M_1	16M_3	17M_7	18M_6	19M_1	20M_2	21M_5	22M_4	23M_6	24M_5	25M_2	26M_4	27M_1	28M_3	29M_7	2M_3	30M_1	31M_6	32M_7	33M_3	34M_4	35M_5	36M_2	37M_7	38M_1	39M_6	3M_2	40M_5	41M_3	42M_4	43M_2	44M_7	45M_6	46M_5	47M_3	48M_1	49M_2	4M_4	50M_4	51M_7	52M_6	53M_3	54M_2	55M_5	56M_1	57M_4	58M_2	59M_3	5M_6	60M_6	61M_1	62M_4	63M_5	64M_7	65M_2	66M_1	67M_5	68M_3	69M_7	6M_1	70M_6	71M_4	7M_7	8M_5	9M_6
1CMET2-PWY	11487.802228876764	24360.964524694184	24408.557547591146	22126.98032838426	11374.801057390552	28913.660744135952	28879.400704440115	27902.68536332939	14336.044220114605	31550.359934276017	17967.494113361117	11129.1460201196	5119.833477340816	1783.5154592687247	19083.239398339087	17110.60700451889	4770.873999470555	16068.005982619503	8394.280233049538	9866.650529009465	16170.946201959921	24606.31557971021	23306.11625396128	11546.658079648778	4872.864426381257	7578.650413322173	13797.920758617143	31916.31347520521	5206.1301398605165	30251.33195570974	6256.326378196199	20864.3673514729	16296.768322262622	12973.854371782496	11218.540034818749	5291.968748929088	5297.194202831925	22138.92500200778	14589.789069994868	17612.338167725935	16410.629323415276	6739.844202668805	7930.066737863373	15099.137872124798	14871.713531317373	14920.90262085052	21484.16935571126	38205.746155454006	9773.522362749754	14435.28162058946	5354.734421787368	12057.10936577358	11512.893475715371	11498.439892935687	11796.608706380475	32210.035494865882	9407.531599682034	6895.0472863546465	22849.142281436176	18951.150199105676	30925.542305248357	978.104782284382	12058.697595520713	6865.633930902862	43455.311748926666	10736.66510202153	7284.620481563487	21759.960684571586	23357.73681865056	10955.327686155943
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2.042987227691657	83.35763034920382	66.46917306134786	84.85056115936315	8.29450372261904	128.83359362655682	171.7519129739181	74.58926682015193	0.8829754268384685	383.3589262639586	0.0	38.080866625359754	41.99640392031299	8.329319573705936	3.3234612405831827	274.9353468660523	64.35591527726714	132.30550431703512	11.340975231946869	67.78873609542416	164.72970954717604	186.5964449717083	3.9128210821468508	22.142057905537175	26.669253662526643	14.87938918000038	20.6857150650666	65.67023187527953	25.057339945706204	298.7381455497745	9.823489437780301	370.6858849847809	19.695182402496616	4.0141107122750945	63.896327895541376	0.0	0.0	47.230061039480276	12.670189861589373	7.0180729060094755	39.64464930948534	2.4906633873075927	13.716893315571935	0.0	20.611701478598707	6.879917136849429	16.906224874644234	103.36291287726326	12.088213160534423	18.769038913745344	0.0	30.005938751010955	0.0	163.1530911652633	11.831760781375449	24.77498575219082	14.372607705659206	0.0	57.042892175617226	24.350029431404742	101.01877398760386	0.0	17.373629690030615	5.747181197132233	384.84524410425513	7.585313280974928	5.020811496803383	44.28359660271318	27.602228223911336	4.78205315448845
AEROBACTINSYN-PWY	4.86	6.345329057087878	81.69318181818183	497.64092459658883	490.8282783161335	1593.5700000000004	431.103608285168	55.258402433496926	66.17038468604181	45.895377677564824	399.17573157652834	35.6133599724423	11.66839546191248	60.736121822424174	127.0	176.5799693628227	110.84605711291589	222.2651561502	82.92106398188967	18.492386552088046	426.0476603485697	10.71	1177.5089247631086	31.570000000000004	93.53719720045133	6.1402400505369545	31.11609042358621	0.0	23.884615384615387	10.306378953591485	7.030698006072475	668.3422091407084	1676.0259908954586	638.5532867151481	847.2499407952075	40.14	4.102698007153807	210.14768298886747	869.1465562761866	1568.4280896951789	110.33730348960171	11.23404255319149	1609.0813285794711	15.530148385219668	2323.42	983.9999999999999	0.0	89.68059102238789	1.1066867075043847	246.6979377588356	246.71	15.667285163536873	3105.737472901872	3.8500000000000005	23.421761164406217	19.72705882352941	476.8309930244016	301.8090906556692	624.7846710666383	489.4658671671167	398.15995091748005	6.57	3.0	8.361751313485115	59.63837203676827	14.371608356405739	0.0	4.686695994443157	13.172632989414444	1692.57
ALL-CHORISMATE-PWY	570.5435017447262	2224.9543825321007	1462.7266068131878	2959.7054555302116	1984.6006732855417	7160.593472456734	3599.234403672274	2169.7721855035447	487.450209950723	2345.874349242791	2235.4654797229787	363.9714682209012	303.62868136305457	325.11801884944947	845.9829282419382	1978.5542991616426	906.8447053390845	1466.844926472662	589.2008990076005	354.63340345426434	2695.856009427021	350.82307318521794	4964.239578104836	438.9670645413548	630.0467106810271	413.5568770723182	346.06485386402125	694.9591329541955	425.2583327172442	860.6640016869505	133.7406095827671	4439.775405578075	5608.238498184511	2953.1018100755155	3336.0108081647654	354.79185814108416	84.2796963955942	1336.790748338232	3496.180071803248	5322.06320146389	1031.715054319688	154.32332402677807	3423.793054649416	285.3428479025775	6258.900736266146	3475.300661395145	214.89619917420117	1434.4248929126618	506.1490632970539	1242.7446790222907	966.9538333807895	203.89829952540018	6185.786508649016	875.853544912723	449.6018390462283	1796.2014956093476	2121.9646438056598	1259.0628593910512	3329.5008095338794	2251.115797836407	3360.0844141382886	32.818139221008124	52.928137653894204	251.53855999199573	2155.3698037708186	152.36468383282258	47.89109814813418	1521.432760398261	513.8533314532797	4382.014732202761
ANAEROFRUCAT-PWY	36163.099864384334	58207.32323753	46384.57203129815	44805.858331869145	56414.424231031546	54772.67713916549	57838.622539288786	53590.67802506369	43176.64921998123	62122.51112315698	36324.56662689465	42217.215001996956	10149.933399529395	15378.573957194369	53068.10939535156	31364.49732852923	35304.55996286653	46412.44926161031	27545.3699728421	47523.37944739027	38088.31351954552	83155.13302131816	52526.791618153715	32329.95487727142	37033.392660494756	39035.01058932032	51195.695403280035	78936.92893201449	10124.338383424769	84133.63372761325	38623.53145573065	40478.23612911964	46632.7539463633	45681.52475051614	24304.269356122702	26821.2958694464	14547.261883320545	68313.0747499395	28533.9516044319	37894.88414901819	41223.070999497104	29888.51714847001	22795.390976698058	65874.04172282403	43008.28612331191	63649.697946978704	62400.26427096135	79429.74862881131	20955.794658724266	40615.9929209558	49819.1321398553	44969.31091405165	34632.9696313548	32534.387737784535	46306.42984919578	68451.83816449073	36435.2170834804	38254.16736586228	54206.782030493734	58067.505380911505	67103.93588958314	7451.688493893039	52468.03892295881	14448.043721700313	82542.47597091769	32704.945713024885	38718.271862029185	50650.78912069303	50892.17733397105	28031.65762631584
ANAGLYCOLYSIS-PWY	34316.08454928772	53961.65267635819	44549.02124261285	41421.35505584313	54296.64690435848	50684.14314210617	54494.34243473176	49654.76569214416	41557.614085960086	57732.57014699581	33379.836794135204	43700.13635429307	9353.519401786521	14355.596532773821	48752.55313096148	30364.14017533274	35862.322126709805	43132.12972649652	25503.73040014318	43178.0012141127	36899.32452232469	106340.87365309468	48682.763205287876	31525.689767881355	40256.47057492007	38631.17869606213	47197.9666756904	73172.44180272853	9616.433462821344	77116.8091248235	36853.34431784996	38205.0715461632	47358.27686004343	46990.2331732552	23307.033728576047	24904.965700105135	14341.745902713477	67682.4281417017	26660.399615548577	36195.72118422703	37766.416134430336	30950.262800533837	22323.09007147133	64553.26342798197	43723.09240693689	62134.896853048995	65363.54212219185	74698.22911636089	19893.4401668142	37073.94375893065	53710.33545361889	43113.38364306227	38043.985091876595	33480.812760173576	46870.49406464824	62716.344591271576	37138.503051154	41897.475342855294	53223.18376860249	55724.3731370364	64160.87168217399	6889.152600741133	55962.4109892197	14064.071304373778	75340.69665102483	30049.08951531388	36081.22948643823	48765.77570452766	48507.01444309322	26709.942874000768
ARG+POLYAMINE-SYN	823.090363903434	8104.33817683053	2977.9279638725384	2898.746076534663	1680.4591732962067	8251.568180947266	4386.335164634771	3705.403812769544	576.1137142765431	3477.412200015519	2002.5157277534822	351.0446446685803	451.4800117737178	240.85880137716228	831.116261745843	2785.2271406710615	1095.0861073958852	2880.0584408709615	666.882395260162	308.43476624222586	2850.5725668874265	1357.1978020095046	3792.8531726238352	627.0044423715989	489.0668774728103	564.4774233345197	392.5187811918956	3097.6666793611375	1369.5863107042155	2995.22924974139	307.8538484861639	5346.16488121395	4814.98951466887	2219.3113464608255	2674.3515493455775	260.8763517857438	429.17157082982493	1447.2781734824543	3000.956725663717	4398.960391212823	959.5452736019305	640.4642719125258	3081.996928477458	310.3133642043458	5550.06308782351	2917.271851682337	629.3745445450832	4155.828757341195	741.1372590658033	1433.3427186773426	826.4103071120995	429.47169381448435	5493.172862008649	1024.8478938023902	387.0492873039847	4427.327771567125	1619.8101613511958	1047.1258452374368	3032.934557066131	1933.2386903245365	3163.733011017674	62.21872361894292	191.34505712361292	438.91383969822874	4131.0450301111805	101.3496727790086	49.276070199999644	2018.44002333359	1890.7391775094022	3849.451459807844
ARGDEG-PWY	0.0	0.0	0.0	18.50565271355595	2.3298593232716125	9.31840898104169	56.54171362795773	17.429943866190786	0.0	0.0	0.0	15.159421593117843	0.0	17.453435239122275	0.0	70.79204247883682	24.014377192713297	0.0	21.126078357288797	0.0	0.0	0.0	9.313427069352244	10.651207388667512	0.0	0.0	0.0	4.265179733271116	0.0	0.0	0.0	0.0	9.31577329214439	0.0	0.0	0.0	0.0	0.0	25.458008398931362	7.548663851002451	0.0	0.0	0.0	0.0	0.0	0.0	2.1674813946570484	8.047774576499272	2.533362235051911	0.0	0.0	0.0	0.0	249.81435059832097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3974741930366306	29.18619708464978	2.728198463082164	0.0	0.0	0.0
ARGORNPROST-PWY	2616.6419200011455	6735.7200112236005	10239.092027635012	5133.827354729974	4427.621549042218	9613.166611484887	10459.9088534982	7258.645337225553	2938.53711902844	4954.988204545524	2748.7894009823162	5902.5426903692205	1133.0360145741163	1252.6792969146152	3310.8182455552164	4454.968604508974	5898.752224121913	5435.626553294584	3739.281922751449	3139.4368106923143	7307.875275803763	9221.503510803013	6972.984759694777	2837.4358583548324	5881.448570573678	4284.244343872581	2036.1526505541717	4855.1755852133065	2234.74616874999	7593.709227148638	6551.974733055488	9979.336401984028	10129.220060582951	8051.491115244245	3834.8221857466137	1132.6514549512124	2251.8293987459106	6799.961344664754	3300.561876424668	4240.6983811251785	4269.645723825372	3955.095034957087	4657.177898421906	2623.64303956712	12433.546605100004	5135.341749940268	4562.523297429281	11761.941857600063	1938.5529070736131	2647.921708331748	8038.525009351432	6291.881622586144	8822.42870541929	2106.6553888437234	4480.480561557432	6422.04152540775	6971.971659727267	4751.484391391301	8519.438656442542	8687.574715940094	15507.892064003008	492.4513184927011	8177.689317168951	2188.2048395402358	8473.0067653342	1286.23396678057	714.0132094415078	3593.2282322754363	7154.267686064394	5247.0604616689
ARGSYN-PWY	7270.266426296856	16890.927932526545	18796.494640628272	18577.64290260162	11387.591306069658	26513.632626937393	26429.230913990654	27593.119625080944	8918.46459036413	26709.021251318376	14684.889206907092	10701.468966836506	4374.181638493477	1380.0750646693102	12800.767861304468	17263.52220365348	4753.255211750311	10455.637888892463	6274.791815671928	6211.644329088329	14719.077945862757	17540.782571935077	18796.828485584152	10242.018241136944	5420.531952962079	5686.286942349157	9019.36944697388	23162.924227494572	4821.521508766312	19513.630640068528	5414.136670507054	21594.82670919097	15022.865527143074	10973.486185278673	8438.692990970729	4242.321433025763	4430.988383769908	16189.9113879492	12218.824846691183	12285.987394443331	12028.77642773259	5517.041413546423	4773.545720100451	14749.974695637005	14125.448993093725	10043.046959849931	15677.855039702406	33166.87957403643	7900.025960384502	9674.886482273823	6167.683968949778	9184.583654324157	9526.930316143407	8963.684792676908	8348.409196202274	24101.427760861665	9395.46764972433	6274.641191510858	19537.987763293564	14738.698660634564	29615.835506884563	480.57377161278055	10630.784728408855	6029.780501432531	46412.509418029345	7208.313265755486	4335.600083711864	15769.685067185255	18291.113069129726	7708.396864914428
