,log2FoldChange,padj
MEP1A,-7.868764528,1.59E-09
SLC7A9,-6.742016628,1.59E-09
MGAM,-5.979019816,1.66E-07
SLC34A2,-8.200561778,1.66E-07
FREM2,-6.429811785,4.72E-07
HNF4beta,-5.108671926,5.52E-07
SLC15A1,-6.239721744,7.66E-07
PCDH11X,-2.904021365,1.80E-06
LOC100858256,-4.484376093,2.26E-06
PLACL2,1.835151834,2.87E-06
FCGBP,1.70498827,6.06E-06
S100A10,1.375715596,6.06E-06
SLC6A19,-6.618295388,6.06E-06
MYO7A,-5.694458261,7.72E-06
RSAD2,3.025650779,1.06E-05
LOC101747667,-3.508786435,1.10E-05
SLC10A2,-4.440670643,1.22E-05
LOC422993,1.70540616,1.79E-05
SLC13A2,-5.353531771,1.79E-05
ENPEP,-7.478348202,2.50E-05
CDKN1A,1.32135442,2.93E-05
SI,-3.932983191,3.07E-05
SLC16A9,-2.490538536,3.28E-05
STC2,-3.391745743,3.28E-05
SH2D4A,-3.131405231,3.54E-05
SLC5A11,-7.61516629,3.73E-05
LPAR3,-1.449254481,4.27E-05
ATF3,1.539275239,4.38E-05
PDZK1P1,-1.946104946,4.84E-05
TRANK1,1.690026843,5.15E-05
SCNN1A,1.797339316,5.33E-05
CPO,-5.979798587,5.45E-05
HIST1H2BO,1.519965566,6.33E-05
ACE,-3.638015592,6.44E-05
CYBRD1,-2.683872825,6.44E-05
GPRC5A,2.007674033,6.44E-05
LOC396365,1.886080483,6.44E-05
MAMDC4,-3.303521322,6.44E-05
SLC38A4,1.772875418,6.44E-05
HEY2,-1.816014389,6.49E-05
SMIM24,-2.508593071,6.58E-05
LYG2,2.859322673,8.19E-05
ACE2,-5.265702961,8.49E-05
HOXA9,-1.070788992,0.000123143
MX1,1.804887332,0.000123465
ALDOC,1.146054376,0.000124783
CDKL2,-2.541882117,0.000124783
ADM2,2.001807397,0.000161432
SLC16A1,1.081900304,0.000164656
HMCN1,-2.470209693,0.000166
RGS13,-1.891695527,0.000166
FABP4,-2.800411183,0.0001669
MUC13,1.528181013,0.00017216
MEP1B,-3.855974257,0.000174388
SLC9A3,-4.733783819,0.000174849
CLDN10,-5.439449157,0.000179529
NEGR1,-2.167142132,0.000180696
TTC12,-1.134526773,0.000202755
RHOC,1.368819108,0.00020963
LOC124418141,-1.944529459,0.000248519
TPD52,1.035144942,0.000266803
EMP1,1.58777368,0.000293437
PPFIA2,-2.458313045,0.000293437
PLAC8L1,1.381013632,0.000303245
PERPB,1.555652514,0.000317871
LOC121113175,-1.578875964,0.000332481
EIF2AK2,1.166539799,0.00038208
SLC1A1,-2.197486985,0.00038208
AVD,2.4367908,0.000388268
CHST4,1.704817364,0.000388268
LY6EL,4.700724464,0.000406955
PRKG2,-2.84277529,0.000410151
GIMAP7L5,1.14190872,0.000415791
HEXDCL,-1.243423405,0.000438045
HIST1H2B7L4,1.573961756,0.000450418
MALRD1,-3.665850364,0.000467419
LOC101750892,1.89298717,0.000511564
PAPSS2,1.434247522,0.000530357
NREP,-1.041726191,0.000547168
KIAA1109,1.025863833,0.000549154
