,log2FoldChange,padj
ETNPPL,-4.34756286,3.30E-22
BATF3,2.299321212,4.00E-13
PM20D2,-1.527197518,1.17E-10
SLC13A3,-3.891301677,4.62E-10
LOC121107465,-1.717804067,9.38E-08
LOC112533405,5.388323949,1.42E-07
BCL2L10,1.117431601,1.55E-07
SUCNR1,-2.28385426,1.55E-07
NEURL1B,2.015249184,2.57E-07
CRCP,-1.427927223,3.61E-07
ASIC4,-2.51749962,4.10E-07
IFI27L2,2.166732776,4.10E-07
LOC420368,1.825397016,5.39E-07
SOCS3,2.238019755,7.94E-07
LOC101749758,-1.940943591,9.73E-07
GIMAP6,1.208118416,1.15E-06
J6367_mgp09,-3.724052159,1.15E-06
PLCXD3,-2.098142654,1.25E-06
IFI6,2.425253165,1.33E-06
KRT13,6.389322472,1.38E-06
SERPINB5,3.050126061,1.51E-06
SERPING1,1.767168365,1.82E-06
NTS,-2.111295677,2.90E-06
ABCC13,-1.160759348,4.75E-06
APOA2,4.553973683,6.44E-06
PTAFR,1.065402395,7.83E-06
ULK2,-1.105221927,8.47E-06
REG4,2.698656394,1.10E-05
GIMAP1-GIMAP5,1.335505953,1.26E-05
GVINP1,1.794021021,1.26E-05
J6367_mgp05,-2.928370251,1.26E-05
TGM4,3.522026285,1.26E-05
TNFRSF6B,1.401907535,1.35E-05
LY6E,2.523163245,1.76E-05
CAND2,-1.052420542,2.35E-05
LOC418421,-2.752190567,2.36E-05
MMP7,4.189114836,2.71E-05
GPX2,2.075964767,3.00E-05
ADH1C,-2.645293906,3.02E-05
SPP1,4.223670439,3.16E-05
KRT24,4.876939763,3.32E-05
LOC101750426,-2.908281458,3.47E-05
SCG5,-1.406484341,3.92E-05
LOC124417544,-2.075382934,4.45E-05
C1R,1.27374549,5.44E-05
RNF19B,1.159688161,5.44E-05
LOC101749423,-2.039897575,5.75E-05
OBSL1,-2.421048667,6.16E-05
SCD,2.810455179,6.31E-05
LOC121110055,1.687929892,6.75E-05
LOC121107017,1.426031456,7.47E-05
ALKBH3,-1.019016838,8.13E-05
LOC101748371,-1.508071759,8.13E-05
RFLNA,-2.135043948,8.13E-05
FOS,1.329665065,9.99E-05
CLDN3,1.392862417,0.000103254
KLHL38,-1.363927739,0.000103254
ALDOC,1.366990879,0.000119543
LOC101750929,-2.604188769,0.000119543
EHF,1.06550092,0.00013168
IRF1,1.073066213,0.000133161
LOC107053293,-2.867244361,0.000136118
NT5C1B,1.358667712,0.000142531
F3,2.499224777,0.000158238
LYGL,2.641394396,0.000158238
BICD1,-1.676620845,0.000169905
CDKN1A,1.491743275,0.00018532
LOC101747364,-1.828392151,0.00018532
ART1L1,3.050001138,0.000187388
CLSTN2,-1.559112176,0.000192822
BEND4,1.558339172,0.000206974
LOC121107791,1.430730608,0.000211595
RYR3,-1.45349231,0.000222761
DUSP4,1.23312078,0.000225012
NAALAD2,-1.387862248,0.000230884
RECK,-1.371052158,0.000244003
LOC771638,-1.250466722,0.00024426
LOC121108626,-1.828903825,0.000246151
GRIP2,-2.128603326,0.000260638
LOC107049632,1.249163138,0.000260638
LOC124417310,-1.676547648,0.000260638
LOC101752163,-1.891526287,0.000262204
PXDC1,-1.06526881,0.000262204
TAP1,1.439644455,0.000269657
LOC121106615,-1.590576658,0.000275242
LOC121108625,2.790796387,0.000283837
GABRA4,-1.96316576,0.00032918
LOC121106854,-2.17374027,0.000340558
SLC6A14,1.835836656,0.00035882
C2CD4C,-1.674150416,0.000359333
C4orf17,-2.412179962,0.000359333
CDH3,1.866690809,0.000427879
NRG4,-1.606989091,0.000450101
ABCC8,-2.144034186,0.000461376
NECAB1,-1.894712175,0.000461376
LOC101747703,-1.61466216,0.00048523
KRT23,3.664731584,0.000494498
GNB3,-2.04606662,0.000498421
SSTR5,-1.635249244,0.000511339
KIFC2,-1.341828432,0.000512406
P3H3,-1.731448263,0.000512536
FDPS,1.034853331,0.000522668
UBE2L6,1.296099382,0.000529183
LOC101749091,-2.192444372,0.000533466
SLC22A16,-3.260682371,0.000533466
LOC429785,-2.293600632,0.000612321
EBF3,-2.531923358,0.00062568
LOC107054294,-1.676501337,0.00063618
ARID5A,1.364759535,0.000643013
PTCHD3,1.419401689,0.000643013
MET,1.224007856,0.000709712
SPTLC3,-1.717027401,0.000716728
EPHA10,-2.666539901,0.000729637
LOC121111519,-2.195996598,0.000743802
PLACL2,1.948554515,0.000844136
TAP2,1.181788821,0.000861608
RHOV,1.536954427,0.000871681
SOCS1,1.557337326,0.000965937
TMEM173,1.259535992,0.001035411
ACER2,-1.564072873,0.001104353
ARHGAP36,-1.838955363,0.001116609
RFLNB,1.162677209,0.001116609
ANKS6,-1.116784267,0.001198056
LOC107054293,-2.07857699,0.001215202
SLC41A3,1.210398205,0.001226301
CPS1,-1.559405228,0.001292598
MAOB,-1.592783384,0.001332013
SV2B,-2.653501505,0.001332013
KCNK12,-1.222706716,0.001333658
PCGF3,-1.046532878,0.001333658
PCSK2,-1.231730826,0.001333658
SASH1,-1.188639157,0.001333658
CYYR1,1.998947867,0.001379413
PCLO,-1.883509861,0.001379413
LOC112533158,-2.98009139,0.001391783
RAP1GAP3,-1.252146706,0.001398946
JUND,1.117385922,0.001419867
LOC107049127,3.205427574,0.001426153
LRP11,-1.351498057,0.001428075
LOC101750892,1.542128894,0.001433006
MVB12B,-1.080573746,0.001470509
NBEA,-2.242474618,0.001480189
NOS1,-2.507438974,0.001480189
CCBE1,-1.37435648,0.001564317
KCNB1,-1.358328842,0.001564317
LOC101750386,-3.084362896,0.001672914
GBP,2.309693669,0.001693954
TACSTD2,-2.058890407,0.001693954
CAB39L,-1.306357431,0.001849451
SLC2A9,1.531629432,0.001888938
KRT8,1.225855255,0.001992481
LRRC34,-1.273020165,0.001992481
LOC107054526,-2.245144187,0.001999562
LOC112531572,-1.518949558,0.002009571
LOC422993,2.346267979,0.002009571
LOC124417891,-1.54706451,0.00202805
AVPI1,1.025895836,0.002175156
FGFBP1,1.394415696,0.002175156
COL17A1,1.60477835,0.002226675
MHM2,5.25989787,0.002231662
LOC770612,1.250245697,0.002234494
NRSN1,-1.361390468,0.002234494
LOC107051757,-1.278333734,0.002269477
C3orf18,-1.089392467,0.002317368
